start,fa,count,n_core,bin_us,n_det_hit,det_frac_max,max_mult,multiplet_frac,f3,pi_med,pi_ge_368,n_acd,n_acd_multi,n_acd_bg,cpd_10us,cpd_100us,cpd_1ms,cpd_10ms,cpd_env,base_zero,base_len,gti_live_s,gti_nominal_s
2021-08-17T00:31:49.153696730Z,8.859e-78,71,71,147.030,24,0.085,2,0.028,0.000,247,0.197,4,2,1784,3,3,5,36,1786,0,25,2.000,2.000
2021-08-20T07:47:07.988400712Z,1.183e-88,69,69,64.477,24,0.087,2,0.029,0.000,277,0.333,6,0,4204,2,2,8,46,4207,0,25,2.000,2.000
2021-08-24T05:01:44.070880159Z,8.780e-79,65,65,157.937,24,0.092,2,0.031,0.000,165,0.046,3,0,719,2,2,3,10,722,0,25,2.000,2.000
2021-08-30T02:25:13.830513Z,9.513e-60,51,51,121.832,21,0.118,1,0.000,0.000,196,0.078,0,0,646,0,0,0,6,646,0,25,2.000,2.000
2021-09-03T23:45:14.158782005Z,2.014e-119,74,74,71.973,24,0.081,2,0.081,0.000,278,0.243,2,0,676,1,1,2,12,676,0,25,2.000,2.000
2021-09-06T09:41:25.542124360Z,9.650e-72,72,72,188.336,22,0.125,2,0.056,0.000,203,0.125,4,0,1548,1,2,5,17,1550,0,25,2.000,2.000
2021-09-07T19:04:12.325536683Z,2.439e-85,70,70,137.612,22,0.114,1,0.000,0.000,182,0.043,0,0,959,0,0,0,14,959,0,25,2.000,2.000
2021-09-07T20:46:24.792598992Z,9.164e-87,62,62,76.994,23,0.097,2,0.032,0.000,221,0.177,4,4,1099,4,4,4,13,1101,0,25,2.000,2.000
2021-09-08T21:01:30.019765853Z,6.614e-252,138,138,93.251,24,0.072,3,0.080,0.022,269,0.246,2,0,657,2,2,2,7,659,0,25,2.000,2.000
2021-09-09T21:06:52.969738557Z,3.213e-67,48,48,66.519,21,0.104,1,0.000,0.000,220,0.146,2,0,686,2,2,2,8,688,0,25,2.000,2.000
2021-09-11T19:44:56.287040680Z,4.127e-90,69,69,138.700,24,0.101,2,0.029,0.000,207,0.072,4,0,665,4,4,4,10,668,0,25,2.000,2.000
2021-09-12T18:07:44.306497558Z,5.564e-100,63,63,58.398,23,0.095,2,0.032,0.000,336,0.476,3,0,695,2,2,3,10,697,0,25,2.000,2.000
2021-09-15T16:47:50.906741008Z,3.474e-22,13,13,2.518,13,0.077,3,0.846,0.231,188,0.231,1,0,747,1,1,1,8,746,0,25,2.000,2.000
2021-09-21T05:42:10.825429901Z,2.280e-32,27,27,38.505,14,0.148,2,0.074,0.000,215,0.111,2,0,737,0,1,2,7,738,0,25,2.000,2.000
2021-09-21T07:20:05.639989376Z,6.602e-26,30,30,99.659,15,0.167,1,0.000,0.000,171,0.067,1,0,747,0,0,1,5,748,0,25,2.000,2.000
2021-09-24T13:55:59.153866440Z,1.344e-151,122,122,225.708,24,0.090,2,0.033,0.000,177,0.057,2,0,1570,1,1,5,22,1572,0,25,2.000,2.000
2021-09-26T02:52:27.449503734Z,6.152e-294,158,158,85.905,24,0.070,2,0.101,0.000,282,0.291,9,6,747,8,8,9,20,755,0,25,2.000,2.000
2021-09-26T06:12:49.860244989Z,1.708e-63,53,53,58.472,23,0.132,2,0.038,0.000,228,0.170,6,2,3334,2,2,6,34,3340,0,25,2.000,2.000
2021-09-28T14:43:36.529830113Z,2.027e-160,111,111,95.621,24,0.081,3,0.045,0.027,279,0.315,7,5,2537,5,5,7,32,2542,0,25,2.000,2.000
2021-10-03T02:16:43.163763478Z,1.268e-43,34,34,46.432,18,0.118,1,0.000,0.000,211,0.176,0,0,790,0,0,0,8,789,0,25,2.000,2.000
2021-10-07T13:47:20.865018144Z,2.060e-178,119,119,112.921,25,0.084,2,0.034,0.000,246,0.218,7,5,1021,6,6,7,15,1027,0,25,2.000,2.000
2021-10-13T17:27:55.517319113Z,3.317e-113,65,65,39.652,25,0.077,2,0.062,0.000,312,0.369,2,2,678,2,2,2,8,679,0,25,2.000,2.000
2021-10-14T19:18:32.213319152Z,6.713e-27,28,28,72.598,19,0.107,2,0.071,0.000,211,0.000,2,0,708,1,1,2,9,710,0,25,2.000,2.000
2021-10-21T15:36:52.733745828Z,2.227e-75,22,22,0.164,21,0.091,5,0.909,0.727,206,0.045,0,0,621,0,0,0,4,621,0,25,2.000,2.000
2021-10-22T23:53:11.906048744Z,8.435e-299,179,179,189.409,25,0.067,2,0.034,0.000,223,0.156,7,7,659,7,7,8,19,666,0,25,2.000,2.000
2021-10-23T06:11:01.881350398Z,4.458e-39,48,48,146.523,22,0.125,1,0.000,0.000,171,0.000,2,0,1998,1,1,2,21,1999,0,25,2.000,2.000
2021-10-25T22:34:26.218818470Z,7.027e-42,43,43,156.879,20,0.116,1,0.000,0.000,222,0.140,3,0,628,2,2,3,12,629,0,25,2.000,2.000
2021-10-26T17:58:57.036146774Z,1.488e-73,49,49,48.578,23,0.102,1,0.000,0.000,228,0.224,2,2,928,2,2,2,12,928,0,25,2.000,2.000
2021-10-28T14:24:08.239651218Z,2.036e-212,124,124,90.718,25,0.065,2,0.097,0.000,252,0.290,4,0,783,4,4,4,14,786,0,25,2.000,2.000
2021-10-28T21:14:24.887640014Z,6.173e-106,79,79,149.772,24,0.089,2,0.025,0.000,196,0.101,0,0,683,0,0,0,5,682,0,25,2.000,2.000
2021-10-29T14:29:16.790856540Z,2.222e-108,65,65,43.809,23,0.077,2,0.092,0.000,259,0.200,1,0,867,1,1,1,5,867,0,25,2.000,2.000
2021-11-09T03:10:44.187917307Z,2.687e-53,58,58,174.299,22,0.103,2,0.034,0.000,209,0.190,7,2,1152,4,4,7,17,1159,0,25,2.000,2.000
2021-11-10T05:08:51.568165674Z,3.293e-159,114,114,130.877,25,0.061,2,0.053,0.000,223,0.105,3,0,1672,1,1,3,11,1672,0,25,2.000,2.000
2021-11-11T07:13:54.032539188Z,9.812e-117,94,94,169.262,25,0.074,2,0.021,0.000,253,0.223,7,0,1189,4,4,7,26,1196,0,25,2.000,2.000
2021-11-13T02:09:57.012385800Z,6.150e-76,58,58,67.815,23,0.103,2,0.034,0.000,279,0.241,3,0,1485,1,2,3,17,1486,0,25,2.000,2.000
2021-11-22T01:59:38.129079848Z,4.326e-106,78,78,92.238,23,0.103,2,0.026,0.000,234,0.167,5,0,1610,2,2,5,16,1614,0,25,2.000,2.000
2021-11-26T20:14:54.286592245Z,9.239e-51,61,61,316.769,24,0.115,2,0.033,0.000,206,0.049,0,0,659,0,0,0,5,659,0,25,2.000,2.000
2021-12-04T01:37:23.893353924Z,2.502e-99,84,84,185.698,24,0.107,2,0.048,0.000,218,0.167,3,0,1365,2,2,3,19,1365,0,25,2.000,2.000
2021-12-06T12:15:46.563495844Z,1.486e-14,31,31,190.735,17,0.129,1,0.000,0.000,170,0.000,2,0,1501,0,0,3,13,1502,0,25,2.000,2.000
2021-12-12T21:41:33.038362115Z,4.344e-60,58,58,170.574,22,0.138,1,0.000,0.000,167,0.034,2,0,1194,1,1,3,19,1196,0,25,2.000,2.000
2021-12-13T23:34:18.152209103Z,0.000e+00,217,217,294.656,25,0.065,2,0.028,0.000,234,0.166,10,8,1371,10,10,10,23,1381,0,25,2.000,2.000
2021-12-15T21:07:06.889239951Z,2.939e-110,66,66,40.084,22,0.076,3,0.152,0.091,239,0.303,3,2,1304,2,2,3,18,1307,0,25,2.000,2.000
