start,theta,phi,dist_km,zenith_src_deg,airmass,dead_frac_max,n_core,sigma_us,fluence_erg_cm2,fluence_ph_cm2
2024-09-26T00:11:21.806050986Z,131.24,282.09,215.0,21.33,1.074,0.302,15,28.0,3.033e-07,0.1680
2024-09-26T16:02:23.390327990Z,29.69,191.94,101.5,10.37,1.017,0.212,13,46.0,9.535e-08,0.0528
2024-09-26T16:03:31.420836985Z,45.15,156.95,170.2,17.11,1.046,0.218,15,44.5,1.204e-07,0.0667
2024-09-26T23:47:44.986043989Z,28.67,97.19,111.6,11.32,1.020,0.346,12,57.8,9.182e-08,0.0509
2024-09-27T00:31:30.934542Z,93.57,136.88,703.7,53.73,1.690,0.082,70,766.2,8.975e-07,0.4970
2024-09-27T21:24:03.788944005Z,175.68,165.33,94.1,9.66,1.014,0.198,22,86.0,5.517e-07,0.3055
2024-09-28T21:41:03.173889011Z,44.03,235.36,240.9,23.68,1.092,0.481,8,18.6,8.263e-08,0.0458
2024-09-28T22:41:18.358779996Z,111.87,349.83,165.2,16.49,1.043,0.364,32,74.3,5.056e-07,0.2800
2024-09-30T09:28:48.496706008Z,149.22,186.40,586.5,48.04,1.496,0.121,18,102.9,3.324e-07,0.1841
2024-10-01T21:03:27.773905992Z,5.62,26.28,142.3,14.46,1.033,0.429,12,33.6,8.753e-08,0.0485
2024-10-01T21:53:15.470290988Z,132.93,274.30,464.1,40.46,1.314,0.143,11,36.4,1.887e-07,0.1045
2024-10-05T19:49:26.369778007Z,97.33,56.80,495.9,42.53,1.357,0.148,13,36.9,1.872e-07,0.1037
2024-10-14T11:28:10.461865007Z,143.03,179.89,747.2,55.34,1.758,0.105,14,59.6,2.703e-07,0.1497
2024-10-14T15:50:36.052275985Z,67.24,110.86,371.5,34.29,1.210,0.198,22,52.7,2.427e-07,0.1344
2024-10-16T19:28:40.816617995Z,85.20,300.16,530.0,44.84,1.410,0.183,19,39.8,2.191e-07,0.1213
2024-10-17T16:40:55.329416990Z,83.83,325.61,89.5,9.18,1.013,0.652,9,11.8,1.371e-07,0.0759
2024-10-18T20:07:39.748802006Z,114.33,5.74,371.4,34.39,1.212,0.426,12,20.0,1.878e-07,0.1040
2024-10-20T17:57:03.870876997Z,153.60,352.31,360.3,33.32,1.197,0.271,13,29.0,2.171e-07,0.1202
2024-10-21T01:32:01.254462003Z,74.66,89.71,420.7,37.96,1.268,0.400,13,17.6,1.782e-07,0.0987
2024-10-21T08:38:57.108469992Z,162.11,32.35,214.9,21.17,1.072,0.171,14,61.6,2.162e-07,0.1197
2024-10-21T14:33:00.629415005Z,28.26,110.00,247.6,24.31,1.097,0.240,20,39.1,1.454e-07,0.0805
2024-10-26T01:24:25.838198006Z,46.05,40.92,274.7,26.66,1.119,0.404,20,28.0,2.064e-07,0.1143
2024-10-26T23:59:22.250445991Z,139.70,60.85,431.2,38.66,1.281,0.161,16,51.7,2.303e-07,0.1276
2024-10-27T20:09:00.498403996Z,79.44,229.90,301.6,28.63,1.139,0.260,13,37.3,1.678e-07,0.0929
2024-10-30T05:20:33.560077995Z,134.66,186.93,304.5,28.81,1.141,0.222,24,56.7,6.080e-07,0.3367
2024-11-03T06:38:07.638466Z,175.27,105.45,211.6,20.92,1.071,0.217,12,35.1,3.074e-07,0.1703
2024-11-08T22:52:41.583167999Z,98.87,59.37,532.5,44.85,1.411,0.169,13,72.5,1.794e-07,0.0993
2024-11-11T23:52:50.616048008Z,73.06,340.46,316.2,30.02,1.155,0.034,16,368.3,1.308e-07,0.0725
2024-11-12T20:10:23.626280993Z,124.30,337.34,432.6,38.52,1.278,0.118,13,53.2,1.623e-07,0.0899
2024-11-13T19:46:07.605843007Z,65.81,353.99,456.3,40.27,1.311,0.152,15,55.0,1.435e-07,0.0795
2024-11-15T16:19:38.452681005Z,92.86,294.91,136.2,13.78,1.030,0.173,19,80.6,2.290e-07,0.1268
2024-11-17T09:22:54.179502993Z,98.00,67.50,177.4,17.75,1.050,0.380,13,28.2,2.761e-07,0.1529
2024-11-17T15:53:12.924279004Z,67.45,23.77,388.1,35.45,1.228,0.232,9,22.5,9.315e-08,0.0516
2024-11-19T18:49:55.830446988Z,50.79,254.92,341.9,32.11,1.181,0.243,18,36.8,1.536e-07,0.0850
2024-11-20T08:37:37.170554995Z,102.74,74.49,151.3,15.23,1.036,0.217,27,115.5,4.448e-07,0.2463
