group,latitude,longitude
assoc,3.7126,266.8834
assoc,10.7282,250.7014
assoc,16.7034,251.9639
sig,4.0462,93.2987
sig,12.9230,147.3090
sig,-8.9104,116.3528
sig,0.3573,101.8906
assoc,10.5166,253.4922
sig,-1.2206,3.6529
assoc,1.6717,2.0543
sig,7.2731,274.5028
sig,-2.1886,113.8424
sig,-2.5060,114.1504
sig,0.9466,13.7285
assoc,5.4039,272.3186
assoc,-1.8449,36.6676
sig,8.4897,285.4623
assoc,10.5070,253.5674
sig,5.8266,79.0017
assoc,-9.3075,84.4319
assoc,6.7515,75.8856
sig,10.0108,50.8581
sig,2.0736,12.7219
sig,0.4125,30.5384
assoc,-4.6370,11.1747
assoc,0.9681,54.1235
sig,6.9913,274.3932
assoc,8.3949,4.8116
assoc,-9.7396,152.8655
assoc,3.5116,68.7752
sig,3.5682,68.8303
assoc,3.3232,109.0729
assoc,0.0862,128.0244
sig,5.3057,98.6792
sig,4.8692,252.1597
sig,5.6023,252.8790
assoc,11.7347,259.0577
assoc,3.5542,125.5101
sig,24.2859,124.0563
sig,20.0193,123.4848
sig,7.3949,100.9918
sig,-5.7869,145.9225
sig,-3.1415,115.0394
sig,8.4551,93.9984
sig,-9.3009,20.0254
sig,1.9860,102.0160
sig,3.1615,28.0650
sig,-2.9430,33.9820
assoc,13.0023,111.2237
assoc,-6.1615,130.1820
assoc,5.4962,273.1248
assoc,-14.6461,17.5531
assoc,-12.2405,134.2831
assoc,-6.9204,115.4198
sig,-1.2878,23.8503
assoc,-16.4397,198.5253
assoc,12.3508,81.8817
assoc,0.4841,115.6595
sig,-18.4654,265.0003
assoc,-10.7807,200.5448
sig,9.8233,123.7840
sig,7.3535,97.0343
sig,-6.5112,59.2366
sig,-24.4281,65.7482
sig,-22.9670,85.5794
sig,-22.9661,85.5806
sig,13.2791,119.3206
assoc,11.7249,238.0440
sig,-4.8358,145.8817
assoc,10.9288,283.3799
assoc,6.2244,11.0324
sig,0.7503,99.3009
sig,23.2927,260.5163
sig,-5.9114,132.7488
sig,-1.0184,109.2252
sig,12.6190,264.3473
sig,14.7506,266.6236
assoc,8.2277,162.7771
assoc,17.3256,110.7593
sig,-4.0736,122.4751
assoc,13.1644,256.9011
assoc,-3.0901,22.3342
assoc,11.7422,271.6008
assoc,11.2827,246.7986
assoc,11.9507,124.7651
sig,16.8723,273.1145
assoc,-11.6756,147.2965
sig,8.2049,259.9449
sig,16.3438,281.8682
assoc,14.4636,255.6394
assoc,13.1399,257.0548
assoc,6.0557,249.7592
sig,3.4605,283.0237
sig,8.6639,78.4588
sig,15.1863,101.1982
sig,14.0061,79.9706
sig,24.3656,86.1097
sig,14.9284,69.1630
sig,18.6949,255.0484
sig,4.3440,276.4982
assoc,11.5212,283.6907
sig,16.6198,83.5208
sig,10.1046,280.5839
sig,8.6442,282.0627
sig,8.0920,282.6166
sig,7.7367,29.1180
sig,4.7137,112.0567
sig,8.1840,243.9516
sig,22.2224,89.0546
assoc,5.2750,10.4084
sig,21.0968,84.1982
assoc,20.0276,87.7467
sig,12.7386,23.1013
assoc,11.6528,287.1696
sig,10.1050,118.8859
sig,10.2566,282.5187
sig,2.4201,21.3718
sig,3.4282,81.1342
assoc,9.8648,281.1016
assoc,7.1545,283.8249
sig,13.3632,273.4461
assoc,6.5356,280.4168
sig,-10.0953,175.3880
assoc,11.0863,126.1992
assoc,-6.5842,95.0389
assoc,13.8441,119.2834
sig,7.6502,125.6594
sig,8.6991,266.1963
sig,10.9932,284.1085
sig,7.7819,283.3418
sig,19.5998,260.7151
sig,9.7391,277.3507
sig,1.6923,305.5398
sig,21.5419,260.2077
assoc,14.7450,271.4397
sig,17.1500,164.3290
assoc,20.0258,181.2221
assoc,25.3594,307.8745
assoc,8.4339,265.0372
sig,-8.9475,93.6756
sig,2.3102,60.8587
sig,10.0322,281.3765
sig,4.5625,103.5525
sig,9.6912,274.5052
assoc,14.5344,255.2997
assoc,1.1636,19.1587
sig,4.9551,282.0070
sig,25.1865,296.2213
sig,22.6693,200.2314
assoc,4.0771,273.1131
assoc,7.3204,276.2335
sig,4.1544,22.4792
sig,7.0481,106.6293
assoc,16.3685,281.9188
sig,15.6684,135.5379
sig,6.5180,281.2159
sig,5.6786,282.0437
assoc,18.2324,280.0190
assoc,20.8180,258.8276
sig,-7.6620,156.7309
assoc,5.8463,279.2005
assoc,23.7718,286.4405
assoc,15.1137,106.8183
sig,6.8193,25.4372
assoc,1.0668,282.7450
sig,13.9056,265.7981
assoc,9.7198,270.1571
sig,7.5546,22.1521
sig,0.9576,278.6229
assoc,9.4277,286.9618
assoc,18.0837,281.4152
assoc,23.2778,177.9764
sig,-16.7640,159.5542
sig,7.0318,119.2186
assoc,9.8215,282.2764
assoc,9.3469,278.7432
assoc,6.7571,281.3348
sig,-8.8983,175.3115
sig,18.7379,183.8790
assoc,9.1921,274.8856
sig,12.5727,267.3915
sig,10.9263,284.6487
sig,6.4090,285.8759
sig,9.3457,113.0677
assoc,6.5100,277.7477
assoc,22.4790,187.4008
assoc,21.7635,188.3089
assoc,17.4016,275.5689
sig,12.4968,267.6532
sig,14.9790,268.8582
assoc,19.6964,274.2283
sig,24.3633,81.9988
assoc,19.7153,105.9760
assoc,7.5496,277.3961
assoc,23.2773,125.0721
sig,21.1608,282.3035
assoc,21.5149,257.5962
sig,15.8894,264.1870
assoc,23.7650,89.4088
assoc,22.9622,158.6824
assoc,9.4878,263.2893
assoc,5.3299,109.5343
sig,0.3980,290.8499
sig,-2.5889,165.6357
assoc,25.5754,276.6745
sig,24.3907,278.3115
sig,7.7892,285.0664
sig,15.5236,252.7400
sig,7.8034,353.8394
sig,15.7589,268.7235
sig,7.0540,277.7740
assoc,10.1902,270.6069
sig,15.6929,260.7725
sig,8.9241,21.1878
assoc,19.4088,145.1097
sig,11.9610,277.0016
sig,23.9891,283.2585
assoc,5.8945,284.5778
assoc,20.2160,275.6407
sig,13.7090,288.5390
assoc,6.4186,120.9695
